Date : 2021-02-04 16:23:15
Directory : d:\seu\schoolUniform
Total : 154 files,  7503 codes, 1480 comments, 1418 blanks, all 10401 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |        130 |      6,365 |      1,314 |      1,313 |      8,992 |
| XML          |         16 |        981 |         98 |         59 |      1,138 |
| Batch        |          1 |         96 |         51 |         36 |        183 |
| Properties   |          6 |         51 |         12 |          9 |         72 |
| Shell Script |          1 |         10 |          5 |          1 |         16 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        154 |      7,503 |      1,480 |      1,418 |     10,401 |
| .mvn                                                                                                         |          2 |         78 |         31 |         13 |        122 |
| .mvn\wrapper                                                                                                 |          2 |         78 |         31 |         13 |        122 |
| src                                                                                                          |        149 |      6,986 |      1,301 |      1,319 |      9,606 |
| src\main                                                                                                     |        148 |      6,977 |      1,301 |      1,314 |      9,592 |
| src\main\java                                                                                                |        128 |      6,280 |      1,283 |      1,296 |      8,859 |
| src\main\java\com                                                                                            |        128 |      6,280 |      1,283 |      1,296 |      8,859 |
| src\main\java\com\school                                                                                     |        128 |      6,280 |      1,283 |      1,296 |      8,859 |
| src\main\java\com\school\uniform                                                                             |        128 |      6,280 |      1,283 |      1,296 |      8,859 |
| src\main\java\com\school\uniform\common                                                                      |         31 |      1,756 |        758 |        403 |      2,917 |
| src\main\java\com\school\uniform\common\annotation                                                           |          2 |         18 |          0 |          6 |         24 |
| src\main\java\com\school\uniform\common\aspect                                                               |          1 |         21 |          0 |          5 |         26 |
| src\main\java\com\school\uniform\common\config                                                               |          6 |        178 |        168 |         46 |        392 |
| src\main\java\com\school\uniform\common\config\qcloud                                                        |          2 |         57 |         76 |         18 |        151 |
| src\main\java\com\school\uniform\common\cos                                                                  |          3 |         79 |          4 |         16 |         99 |
| src\main\java\com\school\uniform\common\redis                                                                |          2 |         71 |          1 |         22 |         94 |
| src\main\java\com\school\uniform\common\sms                                                                  |          3 |        128 |          8 |         38 |        174 |
| src\main\java\com\school\uniform\common\token                                                                |          2 |         61 |         11 |         15 |         87 |
| src\main\java\com\school\uniform\common\wxpay                                                                |          9 |      1,103 |        504 |        225 |      1,832 |
| src\main\java\com\school\uniform\controller                                                                  |         10 |        812 |        224 |        167 |      1,203 |
| src\main\java\com\school\uniform\exception                                                                   |          2 |         40 |          1 |         11 |         52 |
| src\main\java\com\school\uniform\model                                                                       |         55 |        843 |          5 |        309 |      1,157 |
| src\main\java\com\school\uniform\model\dao                                                                   |         30 |        497 |          0 |        209 |        706 |
| src\main\java\com\school\uniform\model\dao\entity                                                            |         15 |        307 |          0 |        135 |        442 |
| src\main\java\com\school\uniform\model\dao\mapper                                                            |         15 |        190 |          0 |         74 |        264 |
| src\main\java\com\school\uniform\model\dto                                                                   |         25 |        346 |          5 |        100 |        451 |
| src\main\java\com\school\uniform\model\dto\post                                                              |         22 |        280 |          0 |         79 |        359 |
| src\main\java\com\school\uniform\service                                                                     |         21 |      2,337 |        153 |        310 |      2,800 |
| src\main\java\com\school\uniform\service\fail                                                                |          2 |         63 |          0 |         10 |         73 |
| src\main\java\com\school\uniform\service\impl                                                                |          9 |      2,066 |        106 |        240 |      2,412 |
| src\main\java\com\school\uniform\util                                                                        |          8 |        481 |        142 |         91 |        714 |
| src\main\resources                                                                                           |         20 |        697 |         18 |         18 |        733 |
| src\main\resources\mapper                                                                                    |         14 |        608 |          0 |          0 |        608 |
| src\main\resources\qcloud                                                                                    |          3 |         25 |          2 |          2 |         29 |
| src\main\resources\security                                                                                  |          1 |          8 |          0 |          1 |          9 |
| src\test                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                            |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\school                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\school\uniform                                                                             |          1 |          9 |          0 |          5 |         14 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                     | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\seu\schoolUniform\.mvn\wrapper\MavenWrapperDownloader.java                                                | Java         |         76 |         31 |         12 |        119 |
| d:\seu\schoolUniform\.mvn\wrapper\maven-wrapper.properties                                                   | Properties   |          2 |          0 |          1 |          3 |
| d:\seu\schoolUniform\mvnw.cmd                                                                                | Batch        |         96 |         51 |         36 |        183 |
| d:\seu\schoolUniform\pom.xml                                                                                 | XML          |        333 |         92 |         49 |        474 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\UniformApplication.java                                | Java         |         11 |          0 |          5 |         16 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\CONST.java                                      | Java         |         34 |         11 |         11 |         56 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\IdGenerator.java                                | Java         |         50 |         41 |         17 |        108 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\WebMvcConfig.java                               | Java         |         13 |         10 |          2 |         25 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\annotation\TokenRequired.java                   | Java         |          9 |          0 |          3 |         12 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\annotation\WebResponse.java                     | Java         |          9 |          0 |          3 |         12 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\aspect\WebResponseAspect.java                   | Java         |         21 |          0 |          5 |         26 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\config\COSConfigurer.java                       | Java         |         16 |         76 |          5 |         97 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\config\RedisConfig.java                         | Java         |         21 |          4 |          5 |         30 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\config\RestTemplateConfig.java                  | Java         |         72 |         12 |         12 |         96 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\config\ServiceFailPromptConfig.java             | Java         |         12 |          0 |          6 |         18 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\config\qcloud\QCloudCOSConfigurer.java          | Java         |         16 |         76 |          6 |         98 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\config\qcloud\QCloudSMSConfigurer.java          | Java         |         41 |          0 |         12 |         53 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\cos\QCloudActivityConfig.java                   | Java         |         18 |          0 |          4 |         22 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\cos\QCloudCOSConfig.java                        | Java         |         18 |          4 |          5 |         27 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\cos\QCloudHolder.java                           | Java         |         43 |          0 |          7 |         50 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\redis\StringToObjectRedisStringManager.java     | Java         |         20 |          1 |         10 |         31 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\redis\StringToObjectRedisStringManagerImpl.java | Java         |         51 |          0 |         12 |         63 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\sms\AbstractSMSManager.java                     | Java         |         21 |          0 |          8 |         29 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\sms\SMSManagerForTemplate582492.java            | Java         |         64 |          8 |         17 |         89 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\sms\SMSManagerResult.java                       | Java         |         43 |          0 |         13 |         56 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\token\TokenInterceptor.java                     | Java         |         49 |          8 |         12 |         69 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\token\TokenInterceptorConfig.java               | Java         |         12 |          3 |          3 |         18 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\IWXPayDomain.java                         | Java         |         20 |         17 |          6 |         43 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\IWxPayConfig.java                         | Java         |         51 |          0 |         15 |         66 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPay.java                                | Java         |        382 |        245 |         78 |        705 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPayConfig.java                          | Java         |         30 |         56 |         20 |        106 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPayConstants.java                       | Java         |         43 |          4 |         13 |         60 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPayReport.java                          | Java         |        201 |         32 |         34 |        267 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPayRequest.java                         | Java         |        187 |         47 |         25 |        259 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPayUtil.java                            | Java         |        167 |        100 |         28 |        295 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\common\wxpay\WXPayXmlUtil.java                         | Java         |         22 |          3 |          6 |         31 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\AccountController.java                      | Java         |        151 |         36 |         25 |        212 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\AdminController.java                        | Java         |         32 |         13 |          7 |         52 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\LocationController.java                     | Java         |         53 |         15 |         10 |         78 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\ProductController.java                      | Java         |        200 |         81 |         49 |        330 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\SchoolController.java                       | Java         |         80 |         38 |         16 |        134 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\SolicitController.java                      | Java         |         68 |         19 |         11 |         98 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\StudentController.java                      | Java         |         54 |         15 |         15 |         84 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\TestController.java                         | Java         |         37 |          3 |          7 |         47 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\UtilController.java                         | Java         |         99 |          4 |         19 |        122 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\controller\WxPayController.java                        | Java         |         38 |          0 |          8 |         46 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\exception\BizException.java                            | Java         |         18 |          0 |          7 |         25 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\exception\GlobalExceptionHandler.java                  | Java         |         22 |          1 |          4 |         27 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Account.java                          | Java         |         22 |          0 |          7 |         29 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Admin.java                            | Java         |         21 |          0 |          6 |         27 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\File.java                             | Java         |         13 |          0 |          5 |         18 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Location.java                         | Java         |         19 |          0 |          9 |         28 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Price.java                            | Java         |         18 |          0 |          7 |         25 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Product.java                          | Java         |         30 |          0 |         15 |         45 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Purchase.java                         | Java         |         30 |          0 |         14 |         44 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\PurchaseMap.java                      | Java         |         18 |          0 |          9 |         27 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\School.java                           | Java         |         17 |          0 |          6 |         23 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Sclass.java                           | Java         |         14 |          0 |          6 |         20 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Shopping.java                         | Java         |         22 |          0 |         10 |         32 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Solicitation.java                     | Java         |         17 |          0 |          7 |         24 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\SoliciteMap.java                      | Java         |         18 |          0 |          7 |         25 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Student.java                          | Java         |         29 |          0 |         19 |         48 |
